School,UG/PG,Level,Unit Code,Sched unit ID,Moodle Unit Name,Block,Day,Time,Group,Unit Name,"Unit Name - Group Group, Block","Unit Name - Group Group, Block UG/PG Campus",Moodle Group Name,"MOODLE UPDATED? 
(BEAU)",Number of Sessions,,Unit Coordinator,Lecturer in Rapla,Room type,Room,"Open/
Closed",Campus,Reverse Hybrid (F2F/Online) or OSP,Comments - Academic Administration,Comments - PD,Forecast Numbers,Current Enrolments
ISY,PG,5,MBIS5011,15852,2026SS-MBIS5011,SS,Tue/Thu,5:00PM -  9:00PM,1,Enterprise Systems,"Enterprise Systems - Group 1, SS","Enterprise Systems - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Mahmud Hasan,Dr Mahmud Hasan,Dr Mahmud Hasan,Class,"Level 3, Classroom 2",Open,SYD,NO,,,,
BUS,UG,3,BBHT3002,15891,2026SS-BBHT3002,SS,Mon/Wed,1:00PM -  5:00PM,1,Ethics & Sustainability,"Ethics & Sustainability - Group 1, SS","Ethics & Sustainability - Group 1, SS UG MEL",Group 1: Mon/Wed 1:00PM -  5:00PM MEL,,8,Ms Valerie Caine,Ms Valerie Caine,Ms Valerie Caine,Class,Room 1,Open,MEL,YES,Class opened - 13.01.2026,,,
BUS,UG,3,BBHT3002,15892,2026SS-BBHT3002,SS,Mon/Wed,1:00PM -  5:00PM,1,Ethics & Sustainability,"Ethics & Sustainability - Group 1, SS","Ethics & Sustainability - Group 1, SS UG SYD",Group 1: Mon/Wed 1:00PM -  5:00PM SYD,,8,Ms Jeannie Wang,Ms Valerie Caine,Ms Jeannie Wang,Class,"Level 4, Classroom 7",Open,SYD,YES,Class opened - 13.01.2026,,,
ISY,UG,1,BBUS1002,15853,2026SS-BBUS1002,SS,Mon/Wed,1:00PM -  5:00PM,1,Foundations of Information Technology,"Foundations of Information Technology - Group 1, SS","Foundations of Information Technology - Group 1, SS UG SYD",Group 1: Mon/Wed 1:00PM -  5:00PM SYD,,8,Dr Mohammed Al-Zobbi,Dr Mohammed Al-Zobbi,Dr Mohammed Al-Zobbi,Class,"Level 4, Classroom 7",Open,SYD,NO,,,,
ISY,UG,3,BISY3004,16559,2026SS-BISY3004,SS,Mon/Wed,8:30AM -  12:30PM,1,E-Commerce & E-Business Applications,"E-Commerce & E-Business Applications - Group 1, SS","E-Commerce & E-Business Applications - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM -  12:30PM SYD,,8,Dr Manzoor Ahmed Hashmani,Dr Manzoor Ahmed Hashmani,Dr Manzoor Ahmed Hashmani,Class,"Level 3, Classroom 6",Open,SYD,NO,New class added - 16.01.2026,,,
ISY,UG,3,BISY3006,15854,2026SS-BISY3006,SS,Mon/Wed,8:30AM -  12:30PM,1,Information Security,"Information Security - Group 1, SS","Information Security - Group 1, SS UG MEL",Group 1: Mon/Wed 8:30AM -  12:30PM MEL,,8,Dr Rabeya Basri,Mr Kushal Pokhrel,Dr Rabeya Basri,Class,Room 1-2,Open,MEL,NO,,,,
ISY,UG,3,BISY3006,15855,2026SS-BISY3006,SS,Mon/Wed,8:30AM -  12:30PM,1,Information Security,"Information Security - Group 1, SS","Information Security - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM -  12:30PM SYD,,8,Mr Kushal Pokhrel,Mr Kushal Pokhrel,Mr Kushal Pokhrel,Class,"Level 4, Computer Lab 8",Open,SYD,NO,,,,
ISY,PG,4,MBIS4001,15856,2026SS-MBIS4001,SS,Tue/Thu,1:00PM -  5:00PM,1,Information Systems Applications in Business,"Information Systems Applications in Business - Group 1, SS","Information Systems Applications in Business - Group 1, SS PG MEL",Group 1: Tue/Thu 1:00PM -  5:00PM MEL,,8,,,,Class,Room 3,Closed,MEL,NO,,,,
ISY,PG,4,MBIS4001,15857,2026SS-MBIS4001,SS,Tue/Thu,5:00PM -  9:00PM,1,Information Systems Applications in Business,"Information Systems Applications in Business - Group 1, SS","Information Systems Applications in Business - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Chandana Prasad Withana,Dr Chandana Prasad Withana,Dr Chandana Prasad Withana,Class,"Level 3, Classroom 1",Open,SYD,NO,,,,
ISY,UG,3,BISY3008a,15858,2026SS-BISY3008a,SS,Mon/Wed,1:00PM -  5:00PM,1,Practical Industry Project (UG Capstone),"Practical Industry Project (UG Capstone) - Group 1, SS","Practical Industry Project (UG Capstone) - Group 1, SS UG SYD/MEL",Group 1: Mon/Wed 1:00PM -  5:00PM SYD/MEL,,8,,,,Online ,Online 1,Closed,SYD/MEL,NO,Class closed - 20.10.2025,,,
